Feature,Model,Accuracy,Precision,Recall,F1 Score,AUC
Gender,Decision Tree,0.6814615166403672,0.6777304996195912,0.831251033678916,0.746584796872608,0.7191468801334182
Gender,Random Forest,0.6805393952469329,0.6598595172303916,0.896174072710954,0.7600569073871102,0.7346439343472166
Gender,Logistic Regression,0.679666692828331,0.686181079416853,0.7972721436634961,0.7375573011022433,0.7183371656278574
Gender,XGBoost,0.7049093993143385,0.6984451377111198,0.8400828154294301,0.7627273851614158,0.7598630554994278
Age,Decision Tree,0.6842031474400339,0.6764724441057778,0.8446023960591162,0.7512391931547711,0.7232692931207425
Age,Random Forest,0.6885255038844649,0.6683751942703141,0.8898415103723456,0.7633644237748847,0.7408832951570632
Age,Logistic Regression,0.6818319889877807,0.6868830839609078,0.8021125028018254,0.7400325067589918,0.7215190808067343
Age,XGBoost,0.7092564654156412,0.6989871574098832,0.8519576497355335,0.7679151320799339,0.7630433937577036
MaritalStatus,Decision Tree,0.6798396190792999,0.6741170393398427,0.8382520229072539,0.7471987598240462,0.7168340764974122
MaritalStatus,Random Forest,0.6829434765234943,0.6635002018951213,0.8896071715383966,0.7600912593160033,0.7355546375671034
MaritalStatus,Logistic Regression,0.6795102715395703,0.68260609923125,0.808121363779484,0.7400712107709918,0.719000730346892
MaritalStatus,XGBoost,0.7055762614693474,0.6980307130653913,0.8434731346957935,0.7638626540158029,0.7610443874631453
Education,Decision Tree,0.6795185267319621,0.6620013169310837,0.8834530024959513,0.7567995154497658,0.7166134859566575
Education,Random Forest,0.6851828589507823,0.6650277480124872,0.8914465396277171,0.761756788017528,0.7377142941635132
Education,Logistic Regression,0.6795925936818774,0.6838534722785393,0.8043432677607034,0.7392155692036625,0.7182074470136058
Education,XGBoost,0.7079720973819341,0.6999816984328733,0.8449594894000896,0.7656498048933607,0.7629923880423215
All,Decision Tree,0.6748750677728655,0.6684080010355478,0.841695331219918,0.7450868986188952,0.710303452695569
All,Random Forest,0.6766698285474693,0.655418252250749,0.9011908250868735,0.7588804622382093,0.7287949361172814
All,Logistic Regression,0.674158749701733,0.6793271044717923,0.800975490793751,0.7351448644144318,0.7085067869820467
All,XGBoost,0.7011469033888104,0.694255928116611,0.8410656948815906,0.7606333339471495,0.750828496155368
