Model,Fold,Energy Consumption (kWh),Carbon Emissions (kg CO2),CPU Usage (kWh),Memory Usage (kWh),Accuracy,F1 Score,Precision,Recall,AUC
Decision Tree,1,2.414626260565212e-05,2.374736634740675e-06,5.364883716803674e-06,1.8781378888848446e-05,0.6835713991684848,0.7611323451726174,0.664262081683571,0.8910797438882422,0.7221266662774782
Random Forest,1,6.793677736803491e-05,6.681446180591498e-06,4.657113431256565e-05,2.1365643055469266e-05,0.6887992425801671,0.7643391521197007,0.668630017452007,0.8920256111757858,0.7412953372371365
Logistic Regression,1,1.6616685625174458e-05,1.6342177978646576e-06,6.970574514121295e-06,9.646111111053162e-06,0.6875643189396122,0.743702302964814,0.693887838689351,0.8012223515715948,0.7263330054291791
XGBoost,1,0.0001991534641158319,1.9586344888863838e-05,0.00014542549161579275,5.372797250003916e-05,0.7126332688428766,0.767416291854073,0.7078237354803024,0.83796565774156,0.7716899893738307
Decision Tree,2,1.733157026045729e-05,1.7045252719754538e-06,3.8390205380898064e-06,1.3492549722367484e-05,0.6759838630001647,0.7536077633432462,0.6605026338893767,0.8772684206690474,0.7166483846003022
Random Forest,2,7.002523480297785e-05,6.886841792403266e-06,4.810565674736599e-05,2.1919578055611863e-05,0.6803062736703441,0.7594325010841956,0.6604170033942137,0.8933751184316012,0.7361129129503954
Logistic Regression,2,1.9653176284983213e-05,1.932850581275529e-06,8.514076007186825e-06,1.1139100277796388e-05,0.6801416104067183,0.7396636065134357,0.6845271317829458,0.8044603163034765,0.7204037409407836
XGBoost,2,0.00019864525199509206,1.9536363243213314e-05,0.0001451377575504695,5.3507494444622555e-05,0.7107689774411329,0.7677662457856812,0.7024738401983911,0.8464397638656075,0.7670295219560983
Decision Tree,3,1.776037327318172e-05,1.7466971906708756e-06,3.934827717638411e-06,1.382554555554331e-05,0.6831467149678907,0.7480441258306327,0.6774576070200403,0.8350507929547614,0.7271389957383547
Random Forest,3,6.36581990442422e-05,6.260656559603132e-06,4.0983259321992594e-05,2.2674939722249597e-05,0.6845463527087107,0.761031590108211,0.6637293298520452,0.8917635021559599,0.7447538248172931
Logistic Regression,3,1.7507210026330715e-05,1.7217990916695734e-06,6.398820304134432e-06,1.1108389722196283e-05,0.6866458093199407,0.7435137138621201,0.6897780556423883,0.8063290214134328,0.7289392588592184
XGBoost,3,0.00019810650279049292,1.94833783364394e-05,0.00014476416251281684,5.3342340277676064e-05,0.7134447554750535,0.7669646145090556,0.7076229305658512,0.8371702112109918,0.7714587214876535
Decision Tree,4,1.8220736563853575e-05,1.7919729995818716e-06,4.052214619413655e-06,1.416852194443992e-05,0.6815000823316318,0.747082475237815,0.6760738374156905,0.8347578347578347,0.7209281632485515
Random Forest,4,7.183921142051825e-05,7.065242764785129e-06,4.952209614276135e-05,2.2317115277756887e-05,0.6813765848839124,0.7594629871340668,0.6608794418302775,0.8926145079991233,0.7345028901446172
Logistic Regression,4,1.896669260853326e-05,1.8653362846640292e-06,7.089076497324731e-06,1.187761611120853e-05,0.6764366869751358,0.7350502258477719,0.682418476560055,0.7964789246840529,0.7171107046057773
XGBoost,4,0.00019982703451100278,1.96525891900881e-05,0.00014590233256672462,5.392470194427814e-05,0.7101926560184423,0.7664078571902582,0.7021095507325673,0.8436701000803565,0.7648353760532944
Decision Tree,5,2.2352129157351534e-05,2.198287198367209e-06,5.121208601822297e-06,1.7230920555529238e-05,0.6802239420385312,0.7456117369662039,0.6776593844871719,0.8287107811021329,0.7214593000325842
Random Forest,5,9.294200653044062e-05,9.140660458255774e-06,6.467344264155765e-05,2.8268563888882963e-05,0.686933970031286,0.763386328987897,0.66659421864812,0.893062531848293,0.739126819941248
Logistic Regression,5,2.4641495838969652e-05,2.4234418327709873e-06,9.308286394446691e-06,1.533320944452296e-05,0.6838465338383006,0.7412747608139065,0.6899103279613721,0.8009026716168013,0.7227323110223121
XGBoost,5,0.00022114582322967945,2.1749249422992515e-05,0.0001613561440632066,5.9789679166472823e-05,0.7145973983204347,0.768846064081619,0.7092765748031497,0.8393390114289874,0.76877451544817
