Model,Fold,Accuracy,F1 Score,Precision,Recall,AUC
Decision Tree,1,0.6835713991684848,0.7611323451726174,0.664262081683571,0.8910797438882422,0.7221266662774782
Decision Tree,2,0.6759838630001647,0.7536077633432462,0.6605026338893767,0.8772684206690474,0.7166483846003022
Decision Tree,3,0.6831467149678907,0.7480441258306327,0.6774576070200403,0.8350507929547614,0.7271389957383547
Decision Tree,4,0.6815000823316318,0.747082475237815,0.6760738374156905,0.8347578347578347,0.7209281632485515
Decision Tree,5,0.6802239420385312,0.7456117369662039,0.6776593844871719,0.8287107811021329,0.7214593000325842
Random Forest,1,0.6887992425801671,0.7643391521197007,0.668630017452007,0.8920256111757858,0.7412953372371365
Random Forest,2,0.6803062736703441,0.7594325010841956,0.6604170033942137,0.8933751184316012,0.7361129129503954
Random Forest,3,0.6845463527087107,0.761031590108211,0.6637293298520452,0.8917635021559599,0.7447538248172931
Random Forest,4,0.6813765848839124,0.7594629871340668,0.6608794418302775,0.8926145079991233,0.7345028901446172
Random Forest,5,0.686933970031286,0.763386328987897,0.66659421864812,0.893062531848293,0.739126819941248
Logistic Regression,1,0.6875643189396122,0.743702302964814,0.693887838689351,0.8012223515715948,0.7263330054291791
Logistic Regression,2,0.6801416104067183,0.7396636065134357,0.6845271317829458,0.8044603163034765,0.7204037409407836
Logistic Regression,3,0.6866458093199407,0.7435137138621201,0.6897780556423883,0.8063290214134328,0.7289392588592184
Logistic Regression,4,0.6764366869751358,0.7350502258477719,0.682418476560055,0.7964789246840529,0.7171107046057773
Logistic Regression,5,0.6838465338383006,0.7412747608139065,0.6899103279613721,0.8009026716168013,0.7227323110223121
XGBoost,1,0.7126332688428766,0.767416291854073,0.7078237354803024,0.83796565774156,0.7716899893738307
XGBoost,2,0.7107689774411329,0.7677662457856812,0.7024738401983911,0.8464397638656075,0.7670295219560983
XGBoost,3,0.7134447554750535,0.7669646145090556,0.7076229305658512,0.8371702112109918,0.7714587214876535
XGBoost,4,0.7101926560184423,0.7664078571902582,0.7021095507325673,0.8436701000803565,0.7648353760532944
XGBoost,5,0.7145973983204347,0.768846064081619,0.7092765748031497,0.8393390114289874,0.76877451544817
