Model,Magnitude,Accuracy,F1 Score,Precision,Recall,AUC,Flip Rate
Decision Tree,0.0,0.6802239420385312,0.7456117369662039,0.6776593844871719,0.8287107811021329,0.7214593000325842,0.0
Decision Tree,0.05,0.6727317635435535,0.7423014586709886,0.6690819844562613,0.8335153235786562,0.7103328285194628,0.022311872221307427
Decision Tree,0.1,0.6659394039189857,0.7368591718278803,0.6643667407320781,0.8271092669432918,0.6994167587652831,0.043347604149514246
Decision Tree,0.2,0.6499670673472748,0.7198998583522745,0.6574608904933815,0.7954429642571158,0.6741062451293254,0.09661616993248806
Logistic Regression,0.0,0.6838465338383006,0.7412747608139065,0.6899103279613721,0.8009026716168013,0.7227323110223121,0.0
Logistic Regression,0.05,0.6798122838794665,0.7404911250500467,0.6835232522328303,0.8078183009390697,0.7121081291378641,0.019347933476041496
Logistic Regression,0.1,0.6763543553433229,0.740493794560338,0.6773959780179962,0.8165538327145665,0.7025531429620536,0.038448872056644164
Logistic Regression,0.2,0.6666392227893957,0.7378100110082237,0.664411919062336,0.8294387420834243,0.6851443647319697,0.07500411658159065
Random Forest,0.0,0.686933970031286,0.763386328987897,0.66659421864812,0.893062531848293,0.739126819941248,0.0
Random Forest,0.05,0.6873867940062572,0.7632350190185196,0.6675028630637508,0.891024241100677,0.7377817266758594,0.010744277951589
Random Forest,0.1,0.6858636588177177,0.7610608385258477,0.6677472527472528,0.8846909805634418,0.7348133149063685,0.020665239585048574
Random Forest,0.2,0.677589329820517,0.7504301829073992,0.6673278549164069,0.8571740554706268,0.72659299742917,0.057343981557714474
XGBoost,0.0,0.7145973983204347,0.768846064081619,0.7092765748031497,0.8393390114289874,0.76877451544817,0.0
XGBoost,0.05,0.6932323398649761,0.7453700539875624,0.7023633202395518,0.793987042294533,0.7459986302195121,0.10303803721389758
XGBoost,0.1,0.6908035567264943,0.7435906189191958,0.7001157109796863,0.7928223047244668,0.7428758534790758,0.11353532027004776
XGBoost,0.2,0.6821175695702288,0.7369532633873824,0.6925539407132338,0.7874353934629104,0.7343544167179015,0.13613535320270048
